,average_street_length,intersection_density_km,buildings_density,distance_between_buildings,natural_terrain_density
"Slupsk, Poland",127.7492198483807,22.497603117653313,2.5946613608223502e-08,22.83348132978922,4.873934610667471e-07
"Lublin, Poland",139.5736132126694,18.61831551175184,3.0500539742230366e-08,32.123091181530064,2.644628362348961e-07
"Szczecin, Poland",133.17150186884155,10.731653606373008,2.7196845927708404e-08,21.277639206582215,3.28878576019312e-07
"Bialystok, Poland",126.93725124378103,29.022488947706947,2.3273821411572538e-08,46.95997754578659,2.6285189289679733e-07
"Zielona Gora, Poland",134.39870877192988,11.549100921555796,9.599534409099758e-09,24.91060703506413,6.427808829386372e-07
"Opole, Poland",141.44156598161177,11.59854637570359,2.7716964322253156e-08,23.386476925824397,6.39788351436389e-07
"Tarnow, Poland",140.4804996096802,19.62957236555089,3.051320228388747e-09,152.77724334749553,1.8990457419992624e-07
"Rzeszow, Poland",146.68194355243327,15.509877750919825,2.5352835177615605e-08,26.749814195333613,1.3044385818626957e-07
"Nowy Sacz, Poland",147.02513662044166,18.693839391495345,1.2034451286505232e-08,36.78959738061806,1.28280004227675e-07
"Zamosc, Poland",117.18812173913047,30.749046283886187,1.0840567428394209e-08,71.58079772770256,3.379241645119873e-07
"Zakopane, Poland",187.95797161572068,8.797827987426848,1.3669659526643465e-09,82.26016700000488,2.689938344708242e-07
"Kwidzyn, Poland",109.35074079320094,33.847500038645464,8.627066328503279e-09,34.40092193842771,1.8244599050545186e-06
"Grajewo, Poland",149.8146590909091,26.491256516764846,2.617545892538272e-09,110.67998527179049,1.1789977974542989e-07
"Augustow, Poland",162.44187142857137,9.902309899676709,1.0337936559145719e-09,81.24315849362961,5.2632113477851e-07
"Bielsk Podlaski, Poland",144.42217002881867,22.79591800966988,5.461928514513664e-09,49.14878457841567,1.4453278400088393e-07
"Sanok, Poland",132.55776470588262,21.571169112074855,7.124365113392851e-09,35.994243240799214,1.1687917108238754e-06
"Krasnystaw, Poland",200.11619787234068,10.38705888868078,2.2658157235085634e-09,52.58298788089372,1.2478554106643628e-07
"Ostroleka, Poland",119.79122178988334,25.739875140861773,4.71621298744469e-09,76.27677048939186,4.104088228327962e-07
"Swiebodzin, Poland",116.92428402366865,28.909053272688556,1.5207609364011176e-08,35.4523386778369,1.8219047289299402e-07
"Zary, Poland",148.68087282463202,15.745340601134696,2.2296480231631894e-08,24.27484670227307,1.0433308499572112e-06
"Lubsko, Poland",119.03210619469021,25.826608761373457,1.6988978002533893e-08,19.67043607168369,3.2514966320287796e-07
"Stargard, Poland",121.41261750405167,17.737907052566136,6.425096141688889e-09,47.6896450455344,7.790615324368957e-08
"Swinoujscie, Poland",129.43145783132525,14.652921863600733,1.0336948588887305e-09,52.662161657220906,1.445810738814263e-07
"Kolobrzeg, Poland",109.67031433823514,26.895403851234356,3.972819316093735e-08,18.41539655226764,4.6627926112998015e-07
"Lebork, Poland",116.71634020618579,39.508229906388415,2.2458788717498784e-08,29.45014598693314,1.085440104679463e-05
"Ustka, Poland",96.84374305555558,29.38521305003471,4.6231521881940945e-09,55.831224086142036,4.359825058451022e-06
"Wladyslawowo, Poland",117.58539528795816,42.718963401084295,3.119551472520233e-09,141.3110991618278,1.2541322501594358e-07
"Darlowo, Poland",115.48161445783123,24.52794226528409,1.3410431351046104e-09,50.495959264679,2.562010647831418e-07
"Mielno, Poland",133.6868427672956,25.494323524257958,1.0295146563915435e-08,21.577684691111752,3.609607445586435e-07
"Walbrzych, Poland",144.43067736185384,13.29176884097074,1.2781649549637796e-08,31.913085770020196,5.470237091767152e-07
"Przemysl, Poland",131.75646645768032,20.548639387904462,9.772339080070786e-09,40.689238585388686,4.878866115657447e-07
"Terespol, Poland",190.14870935960587,19.14637317546862,1.5110019511261656e-08,24.458617410726287,2.435681533410853e-07
"Bielsk Podlaski, Poland",144.42217002881867,22.79591800966988,5.461928514513664e-09,49.14878457841567,1.4453278400088393e-07
"Lubaczow, Poland",124.74439077669908,21.968881344475843,6.847306330183635e-09,22.232750869448097,3.0003423628789335e-07
"Bilgoraj, Poland",107.5589532044762,29.960517674962855,6.285891445548714e-09,79.49837562780733,5.563171948607339e-06
"Hrubieszow, Poland",145.83242299794662,16.38901439655473,3.6477261746106856e-09,26.89506378971789,4.0345403593546963e-08
"Swidnik, Poland",141.694154613466,21.803864748304033,2.1962437755808087e-08,41.66923471697584,4.0414225877975953e-07
"Suwalki, Poland",119.31694580304031,18.41399061193793,1.6575054156257404e-08,32.881778102510985,2.617246496166977e-07
"Goleniow, Poland",120.01126774847873,26.4314844815672,4.930796538921866e-09,70.17113539531762,2.658788961550891e-06
"Police, Poland",139.4435529953917,12.679572965294177,1.9656793301935047e-08,25.513165188179805,6.72800719243221e-07
"Witnica, Poland",139.50951912568308,24.47155954543464,2.6380167098230264e-08,26.47832581930087,6.306615286061865e-07
"Mysliborz, Poland",133.61453846153847,30.08304029245179,1.2605192082980887e-08,23.938192840618655,6.961904529987285e-07
